alias,player_id,is_primary
Allison,1,0
Hana,2,0
Jin,3,0
Kent,4,0
William,5,0
Yuki,6,0
a,7,0
april,7,0
a子,7,0
daniel,8,0
edz,9,0
hana,2,0
hanna,2,0
hmg,10,0
huang,10,0
jin,3,0
kent,4,0
kk,4,0
lyt,12,0
qiubiu,13,0
shi,3,0
song,14,0
teng,12,0
uu,15,0
vera,16,0
vv,17,0
weng,18,0
yaxu,19,0
yj,16,0
yjrx,16,0
ys,23,0
yt,12,0
yuki,6,0
yun,21,0
于江,16,0
云,21,0
五少,22,0
小雪,6,0
帅,23,0
帅哥,23,0
松哥,24,0
江,16,0
睿,25,0
石,3,0
老乡,2,0
腾哥,12,0
薛,26,0
豆豆,27,0
雅,19,0
飞子,28,0
飞飞,28,0
鲶鱼,29,0
黄,10,0
黄毛哥,10,0
