session_date,is_balanced,session_name,total_profit,session_id,per_hand_amount,raw_file
2025-08-02,True,20250802,0,1,200,20250802.json
2025-08-17,True,20250817,0,2,200,20250817.json
2025-08-23,False,20250823,-12,3,200,20250823.json
2025-08-30,True,20250830,0,4,200,20250830.json
2025-09-20,True,20250920,0,5,200,20250920.json
2025-09-20,False,20250920_2,400,6,200,20250920_2.json
2025-10-18,True,20251018,0,7,200,20251018.json
2025-10-25,True,20251025,0,8,200,20251025.json
2025-11-15,True,20251115,0,9,200,20251115.json
2025-11-28,True,20251128,0,10,200,20251128.json
2025-11-29,True,20251129,0,11,200,20251129.json
